Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
IWC,Portugieser,0,2,0,1,0,,7900,1,30
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,15000,2,300
Breguet,Classique,12,2,0,3,0,Date,26000,2,30
Zenith,Chronomaster,0,2,0,1,0,Chronograph,6500,1,50
Girard-Perregaux,Laureato,0,0,0,1,0,Date,12000,2,100
Hublot,Big Bang,1,1,0,0,0,Chronograph,18500,2,100
Jaquet Droz,Grande Seconde,0,2,0,0,0,,9500,2,30
Montblanc,Star Legacy,0,2,0,3,0,Date,3500,0,50
Rolex,GMT-Master II,0,0,0,0,0,"GMT, Date",9900,2,100
Omega,Speedmaster,0,0,1,0,2,Chronograph,4300,0,50
IWC,Portugieser,0,2,0,2,0,,7500,1,30
Hublot,Big Bang,3,1,0,0,0,Chronograph,15500,2,100
Panerai,Luminor Marina,0,2,1,0,0,,5200,0,300
Patek Philippe,Calatrava,5,2,0,2,0,Date,25000,2,30
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,19500,2,50
Vacheron Constantin,Patrimony,6,2,0,2,0,,15000,2,30
Blancpain,Fifty Fathoms,1,6,0,0,0,,14000,2,300
Girard-Perregaux,Laureato,0,0,0,1,0,,7500,1,100
Jaquet Droz,Grande Seconde,0,2,0,2,0,,8500,2,30
Omega,Speedmaster,0,0,1,0,2,Chronograph,5200,0,50
Audemars Piguet,Royal Oak,0,0,0,1,0,"Date, Power Reserve",25000,2,50
IWC,Portugieser,0,2,0,1,0,,9100,2,30
Jaeger-LeCoultre,Master Control,0,2,0,3,0,"Date, Moonphase",8200,2,50
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,12500,2,300
Breguet,Classique,4,2,0,2,0,"Date, Moonphase",27900,2,30
Chopard,Mille Miglia,0,1,0,0,0,"Chronograph, Date",6500,1,50
Seiko,Prospex,0,7,0,0,3,"Date, GMT",1200,0,200
IWC,Pilot's Watch,0,2,0,0,0,Date,4500,0,60
Panerai,Luminor Marina,1,1,0,0,0,,9500,2,300
Patek Philippe,Nautilus,0,0,0,1,0,Date,35000,2,120
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,24000,2,50
Breguet,Classique,4,2,0,2,0,Date,21500,2,30
Blancpain,Fifty Fathoms,0,6,0,0,0,Date,13500,2,300
Longines,Master Collection,0,2,0,1,0,Date,1800,0,30
Vacheron Constantin,Overseas,0,0,0,1,0,Date,19000,2,150
Frederique Constant,Classics,0,2,0,3,0,Date,1200,0,50
